annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2024;800010102;Centre Ville-Saint-Vulfran;;;PLACE;MAX LEJEUNE;PLACE MAX LEJEUNE;1;20.904;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;187
2023;800010101;Centre Ville Émonville;84;;CHAUSSEE;MARCADE;84 CHAUSSEE MARCADE;1;111.929;TERTIAIRE;ENT;68;80001;Abbeville;200070993;80;32;187
2021;620040103;Est;46;;ROUTE;DE BAPAUME;46 ROUTE DE BAPAUME;1;251.587;TERTIAIRE;ENT;46;62004;Achicourt;200033579;62;32;187
2022;800010101;Centre Ville Émonville;23;;PLACE;MAX LEJEUNE;23 PLACE MAX LEJEUNE;1;38.362;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;187
2024;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;180.619;INDUSTRIE;ENT;15;80001;Abbeville;200070993;80;32;188
2021;620040103;Est;46;;ROUTE;DE BAPAUME;46 ROUTE DE BAPAUME;2;254.552;TERTIAIRE;ENT;47;62004;Achicourt;200033579;62;32;188
2023;800010101;Centre Ville Émonville;41;;PLACE;MAX LEJEUNE;41 PLACE MAX LEJEUNE;1;55.381;TERTIAIRE;ENT;64;80001;Abbeville;200070993;80;32;188
2022;800010102;Centre Ville-Saint-Vulfran;13;;PLACE;MAX LEJEUNE;13 PLACE MAX LEJEUNE;1;40.316;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;188
2024;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;78.531;INDUSTRIE;ENT;25;80001;Abbeville;200070993;80;32;189
2023;800010102;Centre Ville-Saint-Vulfran;26;;PLACE;MAX LEJEUNE;26 PLACE MAX LEJEUNE;1;146.343;INDUSTRIE;ENT;10;80001;Abbeville;200070993;80;32;189
2022;800010102;Centre Ville-Saint-Vulfran;;;PLACE;MAX LEJEUNE;PLACE MAX LEJEUNE;1;11.017;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;189
2021;620040103;Est;4;;ROUTE;DE BAPAUME;4 ROUTE DE BAPAUME;1;34.617;TERTIAIRE;ENT;64;62004;Achicourt;200033579;62;32;189
2022;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;23.401;TERTIAIRE;ENT;71;80001;Abbeville;200070993;80;32;190
2023;800010101;Centre Ville Émonville;23;;PLACE;MAX LEJEUNE;23 PLACE MAX LEJEUNE;1;33.33;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;190
2021;620040102;4 As;19;;RUE;DE LA ROTONDE;19 RUE DE LA ROTONDE;1;204.004;TERTIAIRE;ENT;64;62004;Achicourt;200033579;62;32;190
2024;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;480.748;TERTIAIRE;ENT;70;80001;Abbeville;200070993;80;32;190
2021;620040102;4 As;2;;RUE;DES PLANQUETTES;2 RUE DES PLANQUETTES;1;251.045;INDUSTRIE;ENT;25;62004;Achicourt;200033579;62;32;191
2023;800010102;Centre Ville-Saint-Vulfran;13;;PLACE;MAX LEJEUNE;13 PLACE MAX LEJEUNE;1;37.178;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;191
2022;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;93.983;INDUSTRIE;ENT;25;80001;Abbeville;200070993;80;32;191
2024;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;23.805;TERTIAIRE;ENT;71;80001;Abbeville;200070993;80;32;191
2023;800010102;Centre Ville-Saint-Vulfran;;;PLACE;MAX LEJEUNE;PLACE MAX LEJEUNE;1;12.729;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;192
2024;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;132.647;TERTIAIRE;ENT;49;80001;Abbeville;200070993;80;32;192
2021;620040102;4 As;1;T;RUE;DES PLANQUETTES;1 T RUE DES PLANQUETTES;1;81.496;TERTIAIRE;ENT;49;62004;Achicourt;200033579;62;32;192
